250.01,"type I diabetes mellitus [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, without mention of complication"
250.03,"type I diabetes mellitus [juvenile type], uncontrolled, without mention of complication"
250.11,"type I diabetes mellitus [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with ketoacidosis"
250.13,"type I diabetes mellitus [juvenile type], uncontrolled, with ketoacidosis"
250.21,"Diabetes mellitus, type I [insulin dependent type] [IDDM] [juvenile type] with hyperosmolarity, not stated as uncontrolled"
250.23,"Diabetes mellitus, type I [juvenile type] with hyperosmolarity, uncontrolled"
250.31,"Diabetes mellitus, type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled"
250.33,"Diabetes mellitus with other coma, type I [juvenile type], uncontrolled"
250.41,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations"
250.43,"Diabetes mellitus type I [juvenile type], uncontrolled, with renal manifestations"
250.51,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with ophthalmic manifestations"
250.53,"Diabetes mellitus type I [juvenile type], uncontrolled, with ophthalmic manifestations"
250.61,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with neurological manifestations"
250.63,"Diabetes mellitus type I [juvenile type], uncontrolled, with neurological manifestations"
250.71,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with peripheral circulatory disorders"
250.73,"Diabetes mellitus type I [juvenile type], uncontrolled, with peripheral circulatory disorders"
250.81,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with other specified manifestations"
250.83,"Diabetes mellitus type I [juvenile type], uncontrolled, with other specified manifestations"
250.91,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with unspecified complication"
250.93,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], uncontrolled, with unspecified complication"
